Fold,Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
4,Normalizer,200,8,0.1,0.6605,0.7097,0.5432,0.6154,0.7009
5,NoScaler,100,4,0.01,0.7469,0.7857,0.679,0.7285,0.7832
5,NoScaler,100,4,0.1,0.7099,0.7576,0.6173,0.6803,0.7892
5,NoScaler,100,6,0.01,0.7222,0.75,0.6667,0.7059,0.7881
5,NoScaler,100,6,0.1,0.7284,0.7606,0.6667,0.7105,0.7992
5,NoScaler,100,8,0.01,0.7346,0.7794,0.6543,0.7114,0.7952
5,NoScaler,100,8,0.1,0.7346,0.7568,0.6914,0.7226,0.8002
5,NoScaler,200,4,0.01,0.7346,0.7714,0.6667,0.7152,0.7745
5,NoScaler,200,4,0.1,0.7407,0.7826,0.6667,0.72,0.8005
5,NoScaler,200,6,0.01,0.7346,0.7714,0.6667,0.7152,0.7852
5,NoScaler,200,6,0.1,0.7284,0.7534,0.679,0.7143,0.7994
5,NoScaler,200,8,0.01,0.7222,0.7727,0.6296,0.6939,0.7913
5,NoScaler,200,8,0.1,0.7099,0.7125,0.7037,0.7081,0.7939
5,StandardScaler,100,4,0.01,0.7469,0.7857,0.679,0.7285,0.7832
5,StandardScaler,100,4,0.1,0.7099,0.7576,0.6173,0.6803,0.7892
5,StandardScaler,100,6,0.01,0.7222,0.75,0.6667,0.7059,0.7881
5,StandardScaler,100,6,0.1,0.7284,0.7606,0.6667,0.7105,0.7992
5,StandardScaler,100,8,0.01,0.7346,0.7794,0.6543,0.7114,0.7952
5,StandardScaler,100,8,0.1,0.7346,0.7568,0.6914,0.7226,0.8002
5,StandardScaler,200,4,0.01,0.7346,0.7714,0.6667,0.7152,0.7745
5,StandardScaler,200,4,0.1,0.7407,0.7826,0.6667,0.72,0.8005
5,StandardScaler,200,6,0.01,0.7346,0.7714,0.6667,0.7152,0.7852
5,StandardScaler,200,6,0.1,0.7284,0.7534,0.679,0.7143,0.7994
5,StandardScaler,200,8,0.01,0.7222,0.7727,0.6296,0.6939,0.7913
5,StandardScaler,200,8,0.1,0.7099,0.7125,0.7037,0.7081,0.7939
5,MinMaxScaler,100,4,0.01,0.7469,0.7857,0.679,0.7285,0.7832
5,MinMaxScaler,100,4,0.1,0.7099,0.7576,0.6173,0.6803,0.7892
5,MinMaxScaler,100,6,0.01,0.7222,0.75,0.6667,0.7059,0.7881
5,MinMaxScaler,100,6,0.1,0.7284,0.7606,0.6667,0.7105,0.7992
5,MinMaxScaler,100,8,0.01,0.7346,0.7794,0.6543,0.7114,0.7952
5,MinMaxScaler,100,8,0.1,0.7346,0.7568,0.6914,0.7226,0.8002
5,MinMaxScaler,200,4,0.01,0.7346,0.7714,0.6667,0.7152,0.7745
5,MinMaxScaler,200,4,0.1,0.7407,0.7826,0.6667,0.72,0.8005
5,MinMaxScaler,200,6,0.01,0.7346,0.7714,0.6667,0.7152,0.7852
5,MinMaxScaler,200,6,0.1,0.7284,0.7534,0.679,0.7143,0.7994
5,MinMaxScaler,200,8,0.01,0.7222,0.7727,0.6296,0.6939,0.7913
5,MinMaxScaler,200,8,0.1,0.7099,0.7125,0.7037,0.7081,0.7939
5,RobustScaler,100,4,0.01,0.7469,0.7857,0.679,0.7285,0.7832
5,RobustScaler,100,4,0.1,0.7099,0.7576,0.6173,0.6803,0.7892
5,RobustScaler,100,6,0.01,0.7222,0.75,0.6667,0.7059,0.7881
5,RobustScaler,100,6,0.1,0.7284,0.7606,0.6667,0.7105,0.7992
5,RobustScaler,100,8,0.01,0.7346,0.7794,0.6543,0.7114,0.7952
5,RobustScaler,100,8,0.1,0.7346,0.7568,0.6914,0.7226,0.8002
5,RobustScaler,200,4,0.01,0.7346,0.7714,0.6667,0.7152,0.7745
5,RobustScaler,200,4,0.1,0.7407,0.7826,0.6667,0.72,0.8005
5,RobustScaler,200,6,0.01,0.7346,0.7714,0.6667,0.7152,0.7852
5,RobustScaler,200,6,0.1,0.7284,0.7534,0.679,0.7143,0.7994
5,RobustScaler,200,8,0.01,0.7222,0.7727,0.6296,0.6939,0.7913
5,RobustScaler,200,8,0.1,0.7099,0.7125,0.7037,0.7081,0.7939
5,Normalizer,100,4,0.01,0.6975,0.8077,0.5185,0.6316,0.7465
5,Normalizer,100,4,0.1,0.6173,0.6418,0.5309,0.5811,0.6956
5,Normalizer,100,6,0.01,0.6481,0.6714,0.5802,0.6225,0.6891
5,Normalizer,100,6,0.1,0.6235,0.6562,0.5185,0.5793,0.6825
5,Normalizer,100,8,0.01,0.6605,0.697,0.5679,0.6259,0.6942
5,Normalizer,100,8,0.1,0.6296,0.6615,0.5309,0.589,0.6757
5,Normalizer,200,4,0.01,0.6914,0.8039,0.5062,0.6212,0.7064
5,Normalizer,200,4,0.1,0.6049,0.6269,0.5185,0.5676,0.6887
5,Normalizer,200,6,0.01,0.6543,0.7049,0.5309,0.6056,0.6721
5,Normalizer,200,6,0.1,0.6235,0.6429,0.5556,0.596,0.6834
5,Normalizer,200,8,0.01,0.642,0.6825,0.5309,0.5972,0.6946
5,Normalizer,200,8,0.1,0.6296,0.6522,0.5556,0.6,0.6728
